#SMILES ID pKBHX Name Ref Ref.URL
C#CC#N pKBHX.0001 0.30 prop-2-ynenitrile JPOC.2000.347 http://dx.doi.org/10.1002/1099-1395(200006)13:6<347::AID-POC251>3.0.CO;2-E
C#CCN pKBHX.0002 1.57 prop-2-yn-1-amine JCSP2.1999.997 http://dx.doi.org/10.1039/A809265F
C#CCN(CC#C)CC#C pKBHX.0003 0.87 N,N-bis(prop-2-ynyl)prop-2-yn-1-amine CJC.2002.1375 http://dx.doi.org/10.1139/v02-176
C(#N)Cl pKBHX.0004 0.19 carbononitridic:chloride JPOC.2000.347 http://dx.doi.org/10.1002/1099-1395(200006)13:6<347::AID-POC251>3.0.CO;2-E
C(#N)c1c(c(c(c(c1F)F)F)F)F pKBHX.0005 0.01 2,3,4,5,6-pentafluorobenzonitrile JMC.2009.4073 http://dx.doi.org/10.1021/jm801331y
C(=O)N pKBHX.0006 1.75 formamide JMC.2009.4073 http://dx.doi.org/10.1021/jm801331y
C(C#N)Cl pKBHX.0007 0.39 2-chloroacetonitrile JPOC.2000.347 http://dx.doi.org/10.1002/1099-1395(200006)13:6<347::AID-POC251>3.0.CO;2-E
C(C(=O)CCl)Cl pKBHX.0008 0.32 1,3-dichloropropan-2-one JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
C(C(F)(F)F)N pKBHX.0009 0.67 2,2,2-trifluoroethanamine JCSP2.1999.997 http://dx.doi.org/10.1039/A809265F
C(C(F)(F)F)O pKBHX.0010 -0.28 2,2,2-trifluoroethanol JMC.2009.4073 http://dx.doi.org/10.1021/jm801331y
C(CCl)NCCCl pKBHX.0011 1.19 2-chloro-N-(2-chloroethyl)ethanamine JCSP2.2001.2130 http://dx.doi.org/10.1039/B105082F
C(CCl)O pKBHX.0012 0.50 2-chloroethanol JMC.2009.4073 http://dx.doi.org/10.1021/jm801331y
C(CCl)OCCCl pKBHX.0013 0.27 1-chloro-2-(2-chloroethoxy)ethane EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
C(CF)CF pKBHX.0014 0.03 1,3-difluoropropane JPOC.2005.227 http://dx.doi.org/10.1002/poc.813
C/C(=N\C#N)/N(C)C pKBHX.0015 2.24 N'-cyano-N,N-dimethyl-acetamidine JPOC.2000.347 http://dx.doi.org/10.1002/1099-1395(200006)13:6<347::AID-POC251>3.0.CO;2-E
C/N=C/c1ccccc1 pKBHX.0016 1.49 N-methyl-1-phenyl-methanimine JMC.2009.4073 http://dx.doi.org/10.1021/jm801331y
C1=CC(=O)C=CC1=O pKBHX.0017 0.81 1,4-benzoquinone JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
C1C(O1)CCl pKBHX.0018 0.44 2-(chloromethyl)oxirane EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
C1C2CC3(CC1CC(C2)(C3)F)F pKBHX.0019 0.30 1,3-difluoroadamantane JPOC.2005.227 http://dx.doi.org/10.1002/poc.813
C1C2CC3CC1CC(C2)(C3)F pKBHX.0020 0.31 1-fluoroadamantane JPOC.2005.227 http://dx.doi.org/10.1002/poc.813
C1C2CC3CC1CC(C2)(C3)N pKBHX.0021 2.31 adamantan-1-amine JCSP2.1999.997 http://dx.doi.org/10.1039/A809265F
C1C2CC3CC1CC(C2)C34C5(C6CC7CC(C6)CC5C7)OO4 pKBHX.0022 0.93 biadamantylidene:peroxide EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
C1C2CC3CC1CC(C2)C34C5(O4)C6CC7CC(C6)CC5C7 pKBHX.0023 1.44 biadamantylidene.epoxide EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
C1C2CC3CC1CC(C2)C3F pKBHX.0024 -0.02 2-fluoroadamantane JPOC.2005.227 http://dx.doi.org/10.1002/poc.813
C1CC(=O)C1 pKBHX.0025 1.00 cyclobutanone JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
C1CC(=O)OC1 pKBHX.0026 1.32 tetrahydrofuran-2-one JCSP2.1994.485 http://dx.doi.org/10.1039/P29940000485
C1CC1C#N pKBHX.0027 1.03 cyclopropanecarbonitrile JPOC.2000.347 http://dx.doi.org/10.1002/1099-1395(200006)13:6<347::AID-POC251>3.0.CO;2-E
C1CC1N pKBHX.0028 1.74 cyclopropanamine JCSP2.1999.997 http://dx.doi.org/10.1039/A809265F
C1CC=COC1 pKBHX.0029 0.41 3,4-dihydro-2H-pyran EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
